"AOU","Genus","Species","CBC_dist","CBC_dist_error","Migration","Mig_distance","Flocks","Male_mass_g","Trend","Relative.Abundance","CBC_species","CBC_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
6050,"Calamospiza","melanocorys",4343.83230283152,11978411332.2046,"Complete","long","Yes",15.9,-3.66,217.87,"Calamospiza melanocorys","Calamospiza_melanocorys",50,60,"PlantSeed",2.030157659,"PASSERIFORMES",11978411332.2046
5520,"Chondestes","grammacus",4714.29379593321,4746.06080605654,"Partial","long","Yes",9.3,-1.18,5.56,"Chondestes grammacus","Chondestes_grammacus",80,70,"PlantSeed",2.047361259,"PASSERIFORMES",4746.06080605654
5620,"Spizella","breweri",1097.37545616221,18917.8914395253,"Complete","short","Yes",112.7,-0.89,27.58,"Spizella breweri","Spizella_breweri",100,50,"Omnivore",2.117613195,"PASSERIFORMES",18917.8914395253
5650,"Spizella","atrogularis",1076.21119988602,9661.11614710163,"Partial","short","Yes",71.6,-2.08,1.64,"Spizella atrogularis","Spizella_atrogularis",100,50,"Omnivore",2.388759557,"PASSERIFORMES",9661.11614710163
5730,"Amphispiza","bilineata",659.086493926295,4705.63733212854,"Partial","long","Yes",15.5,-0.44,27.69,"Amphispiza bilineata","Amphispiza_bilineata",100,50,"Omnivore",2.202279982,"PASSERIFORMES",4705.63733212854
5870,"Pipilo","erythrophthalmus",2148.72134118777,900.997162286414,"Partial","short","Yes",3682,-1.4,7.3,"Pipilo erythrophthalmus","Pipilo_erythrophthalmus",80,40,"Omnivore",2.611333014,"PASSERIFORMES",900.997162286414
5900,"Pipilo","chlorurus",1852.70455565886,5469.73784852813,"Complete","short","Yes",2498,0.08,5.26,"Pipilo chlorurus","Pipilo_chlorurus",70,40,"Omnivore",2.780343374,"PASSERIFORMES",5469.73784852813
5450,"Centronyx","bairdii",10700.5102579394,18561.4299767046,"Complete","short","Yes",20.4,-0.92,9.57,"Centronyx bairdii","Ammodramus_bairdii",90,50,"Omnivore",2.13507425,"PASSERIFORMES",18561.4299767046
5480,"Ammospiza","leconteii",2811.81547930074,4305.29715721327,"Complete","long","No",9.6,-0.41,3,"Ammospiza leconteii","Ammodramus_leconteii",80,80,"PlantSeed",1.850571857,"PASSERIFORMES",4305.29715721327
5400,"Pooecetes","gramineus",7370.47010977039,6515936.4930547,"Partial","short","Yes",161.1,-0.83,14.95,"Pooecetes gramineus","Pooecetes_gramineus",80,50,"Omnivore",2.214711172,"PASSERIFORMES",6515936.4930547
5540,"Zonotrichia","leucophrys",3830.63808911012,2834.62223355765,"Partial","short","No",421.6,-0.2,4.49,"Zonotrichia leucophrys","Zonotrichia_leucophrys",80,70,"PlantSeed",1.976042999,"PASSERIFORMES",2834.62223355765
5011,"Sturnella","neglecta",2707.84813624883,4355.99112291267,"Partial","long","Yes",2349,-0.88,86.6,"Sturnella neglecta","Sturnella_neglecta",100,50,"Omnivore",2.641103823,"PASSERIFORMES",4355.99112291267
6830,"Icteria","virens",10956.6907878167,4821.46526730208,"Complete","short","Yes",32.3,-0.73,4.05,"Icteria virens","Icteria_virens",100,80,"Invertebrate",2.241553184,"PASSERIFORMES",4821.46526730208
6810,"Geothlypis","trichas",11375.4826671789,1596.96541170862,"Partial","long","Yes",343,-0.58,8.38,"Geothlypis trichas","Geothlypis_trichas",80,100,"Invertebrate",2.343523015,"PASSERIFORMES",1596.96541170862
6750,"Parkesia","noveboracensis",2471.08642443386,27788.7433789308,"Complete","long","Yes",10.1,1.04,1.82,"Parkesia noveboracensis","Seiurus_noveboracensis",80,90,"Invertebrate",2.215035085,"PASSERIFORMES",27788.7433789308
6480,"Setophaga","americana",2756.9516703812,6924.26946229039,"Complete","long","Yes",10.3,1.22,1.86,"Setophaga americana","Parula_americana",80,70,"Invertebrate",1.916144929,"PASSERIFORMES",6924.26946229039
6730,"Setophaga","discolor",1062.86518362938,3921.48928739994,"Partial","short","Yes",13.1,-1.93,1.71,"Setophaga discolor","Dendroica_discolor",60,80,"Invertebrate",2.034808822,"PASSERIFORMES",3921.48928739994
6680,"Setophaga","townsendi",917.433562849665,3754.59898339312,"Complete","long","Yes",14.39,-0.14,10.23,"Setophaga townsendi","Dendroica_townsendi",80,100,"Invertebrate",1.955404048,"PASSERIFORMES",3754.59898339312
6690,"Setophaga","occidentalis",373.606388651933,3568.05854362596,"Complete","short","Yes",8.8,0.09,7.51,"Setophaga occidentalis","Dendroica_occidentalis",80,100,"Invertebrate",2.017526839,"PASSERIFORMES",3568.05854362596
6720,"Setophaga","palmarum",1665.68787091189,3521.11922281614,"Complete","long","Yes",10.3,0.37,0.62,"Setophaga palmarum","Dendroica_palmarum",100,70,"Invertebrate",1.892410727,"PASSERIFORMES",3521.11922281614
6710,"Setophaga","pinus",1828.76166284764,2719.83010898093,"Partial","short","Yes",18.9,1.3,4.69,"Setophaga pinus","Dendroica_pinus",80,70,"Invertebrate",2.060304474,"PASSERIFORMES",2719.83010898093
6850,"Cardellina","pusilla",2857.55658937024,2978.70342921124,"Complete","short","Yes",1224,-1.72,1.88,"Cardellina pusilla","Wilsonia_pusilla",80,80,"Invertebrate",1.80820195,"PASSERIFORMES",2978.70342921124
6460,"Leiothlypis","celata",2529.54672102573,1142.42231263132,"Partial","short","Yes",44,-0.59,4.69,"Leiothlypis celata","Vermivora_celata",50,70,"Invertebrate",1.846387015,"PASSERIFORMES",1142.42231263132
6450,"Leiothlypis","ruficapilla",6911.46936301825,4911.46778495328,"Complete","long","Yes",24.4,-0.23,12.04,"Leiothlypis ruficapilla","Vermivora_ruficapilla",40,80,"Invertebrate",1.80329566,"PASSERIFORMES",4911.46778495328
6470,"Leiothlypis","peregrina",12031.5354708195,10383.599036056,"Complete","long","Yes",21.6,-0.58,17.07,"Leiothlypis peregrina","Vermivora_peregrina",40,70,"Invertebrate",1.618440797,"PASSERIFORMES",10383.599036056
5390,"Rhynchophanes","mccownii",9413.5260349215,2314716.15545552,"Complete","long","Yes",29.3,-2.12,26.18,"Rhynchophanes mccownii","Calcarius_mccownii",80,80,"PlantSeed",2.362024641,"PASSERIFORMES",2314716.15545552
7000,"Anthus","spragueii",13566.0377775935,21390.1150872721,"Complete","long","No",657,-3.24,3.89,"Anthus spragueii","Anthus_spragueii",70,80,"Invertebrate",1.940463213,"PASSERIFORMES",21390.1150872721
3900,"Megaceryle","alcyon",2795.20011959528,335.439458763761,"Partial","short","No",143.6,-0.89,0.27,"Megaceryle alcyon","Megaceryle_alcyon",40,70,"VertFishScav",2.276586039,"CORACIIFORMES",335.439458763761
3670,"Asio","flammeus",9126.36942297025,3844.93787130171,"Partial","short","No",2932,-1.69,0.07,"Asio flammeus","Asio_flammeus",90,100,"VertFishScav",2.457612562,"STRIGIFORMES",3844.93787130171
3260,"Coragyps","atratus",4109.33566750063,1822.34536097353,"Partial","short","Yes",1989,3.37,1.49,"Coragyps atratus","Coragyps_atratus",100,70,"VertFishScav",14.19923167,"CATHARTIFORMES",1822.34536097353
3250,"Cathartes","aura",3073.16964582254,1709.70245458168,"Partial","short","Yes",1430,1.78,2.64,"Cathartes aura","Cathartes_aura",100,100,"VertFishScav",6.797388945,"CATHARTIFORMES",1709.70245458168
3320,"Accipiter","striatus",4480.0044423307,248.690100970305,"Partial","short","Yes",103,0.35,0.02,"Accipiter striatus","Accipiter_striatus",25,100,"VertFishScav",3.61611425,"ACCIPITRIFORMES",248.690100970305
