"AOU","Genus","Species","BBS_dist","BBS_dist_error","Migration","Mig_distance","WithAdults","Flocks","FlocksWithAdults","Male_mass_g","Trend","Relative.Abundance","BBS_species","BBS_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1770,"Dendrocygna","autumnalis",7130.42768657986,3571.60399300292,"Partial","long","Yes","Yes","FlocksWithAdults",1426,6.25,4.09,"Dendrocygna autumnalis","Dendrocygna_autumnalis",50,90,"PlantSeed",2.075058561,"ANSERIFORMES",3571.60399300292
1400,"Spatula","discors",2036.92043167015,1764.05013575669,"Complete","short","Yes","Yes","FlocksWithAdults",31.2,0.26,1.54,"Spatula discors","Anas_discors",100,60,"PlantSeed",2.026234033,"ANSERIFORMES",1764.05013575669
1410,"Spatula","cyanoptera",2897.40443348806,5314.11391301886,"Partial","short","Yes","Yes","FlocksWithAdults",1800,-0.89,0.6,"Spatula cyanoptera","Anas_cyanoptera",100,50,"PlantSeed",1.736307729,"ANSERIFORMES",5314.11391301886
1430,"Anas","acuta",3090.47865762868,2566.35654290845,"Complete","long","Yes","Yes","FlocksWithAdults",1006,-2.61,1.15,"Anas acuta","Anas_acuta",70,50,"PlantSeed",3.306523085,"ANSERIFORMES",2566.35654290845
1390,"Anas","crecca",2296.72513918953,2571.41546095504,"Partial","short","Yes","Yes","FlocksWithAdults",350,0.15,0.29,"Anas crecca","Anas_crecca",100,50,"PlantSeed",2.144349506,"ANSERIFORMES",2571.41546095504
1350,"Mareca","strepera",1758.31187856383,1651.69612004782,"Partial","short","Yes","Yes","FlocksWithAdults",770.5,1.7,2.4,"Mareca strepera","Anas_strepera",80,70,"PlantSeed",2.615589659,"ANSERIFORMES",1651.69612004782
1370,"Mareca","americana",2300.56506563388,2916.82155436351,"Complete","short","Yes","Yes","FlocksWithAdults",796.1,-1.51,0.95,"Mareca americana","Anas_americana",50,100,"PlantSeed",3.081024899,"ANSERIFORMES",2916.82155436351
1500,"Aythya","collaris",2136.68335170941,5718.56966320867,"Complete","long","Yes","Yes","FlocksWithAdults",1078,1.85,0.26,"Aythya collaris","Aythya_collaris",100,60,"PlantSeed",2.543666663,"ANSERIFORMES",5718.56966320867
1490,"Aythya","affinis",2990.3836251426,2802.01248704012,"Complete","long","Yes","Yes","FlocksWithAdults",2725,-0.37,4.02,"Aythya affinis","Aythya_affinis",100,50,"PlantSeed",3.233127688,"ANSERIFORMES",2802.01248704012
1440,"Aix","sponsa",2992.67943807151,547.545448125009,"Partial","short","Yes","Yes","FlocksWithAdults",694,1.15,0.34,"Aix sponsa","Aix_sponsa",80,50,"PlantSeed",2.123768167,"ANSERIFORMES",547.545448125009
